,구 분,세  대,총     인     구,,,내     국      인,,,외     국     인,,,세대당 주),,65세 이상 총인구,,,65세 이상 한국인,,,65세 이상 외국인,,,,,,,,,,,,,,,
,,,계,남,여,계,남,여,계,남,여,인구수,,계,남,여,계,남,여,계,남,여,,,,,,,,,,,,,
,서울특별시,4220082,10124579,4957857,5166722,9857426,4830206,5027220,267153,127651,139502,2.34,,1365126,602107,763019,1359901,599378,760523,5225,2729,2496,,,,,,,,,,,,,
, 종로구 ,73594,164257,80094,84163,154770,75967,78803,9487,4127,5360,2.10,,26182,11441,14741,26030,11356,14674,152,85,67,,,,,,,,,,,,,
,중구,60412,134593,66337,68256,125709,62253,63456,8884,4084,4800,2.08,,21384,9332,12052,21148,9206,11942,236,126,110,,,,,,,,,,,,,
그룹,용산구,107666,244444,119423,125021,229161,110878,118283,15283,8545,6738,2.13,,36882,15489,21393,36488,15245,21243,394,244,150,,,,,,,,,,,,,
,성동구,132902,312711,154077,158634,304808,150368,154440,7903,3709,4194,2.29,,41273,17972,23301,41152,17900,23252,121,72,49,,,,,,,,,,,,,
,광진구,160798,372298,180645,191653,357703,174414,183289,14595,6231,8364,2.22,,43953,19565,24388,43790,19479,24311,163,86,77,,,,,,,,,,,,,
,동대문구,159938,366011,181185,184826,350647,175324,175323,15364,5861,9503,2.19,,55718,24655,31063,55547,24574,30973,171,81,90,,,,,,,,,,,,,
,중랑구,179132,412780,205125,207655,408226,203325,204901,4554,1800,2754,2.28,,59262,26316,32946,59189,26280,32909,73,36,37,,,,,,,,,,,,,
,성북구,187112,455407,221103,234304,444055,216556,227499,11352,4547,6805,2.37,,66251,28574,37677,66121,28511,37610,130,63,67,,,,,,,,,,,,,
,강북구,142533,328002,160252,167750,324479,158918,165561,3523,1334,2189,2.28,,56530,24311,32219,56437,24268,32169,93,43,50,,,,,,,,,,,,,
,도봉구,137378,346234,169553,176681,344166,168759,175407,2068,794,1274,2.51,,53488,23688,29800,53445,23666,29779,43,22,21,,,,,,,,,,,,,
,노원구,217619,558075,271025,287050,554403,269508,284895,3672,1517,2155,2.55,,74243,30827,43416,74178,30799,43379,65,28,37,,,,,,,,,,,,,
,은평구,202839,491202,238223,252979,486794,236353,250441,4408,1870,2538,2.40,,74559,32323,42236,74400,32245,42155,159,78,81,,,,,,,,,,,,,
,서대문구,137266,325028,155250,169778,312800,151144,161656,12228,4106,8122,2.28,,49266,20776,28490,48898,20600,28298,368,176,192,,,,,,,,,,,,,
,마포구,169408,385783,183248,202535,374915,178939,195976,10868,4309,6559,2.21,,49615,20806,28809,49356,20677,28679,259,129,130,,,,,,,,,,,,,
,양천구,176649,475018,234279,240739,471154,232518,238636,3864,1761,2103,2.67,,55234,24641,30593,55136,24585,30551,98,56,42,,,,,,,,,,,,,
,강서구,254257,608255,296175,312080,601691,292989,308702,6564,3186,3378,2.37,,76032,33539,42493,75845,33427,42418,187,112,75,,,,,,,,,,,,,
,구로구,171570,441559,221386,220173,410742,204003,206739,30817,17383,13434,2.39,,58794,27117,31677,58213,26798,31415,581,319,262,,,,,,,,,,,,,
,금천구,106066,253491,129775,123716,235154,119497,115657,18337,10278,8059,2.22,,34170,15556,18614,33842,15388,18454,328,168,160,,,,,,,,,,,,,
,영등포구,167355,402024,202400,199624,368550,183975,184575,33474,18425,15049,2.20,,53981,24376,29605,53299,24020,29279,682,356,326,,,,,,,,,,,,,
